"number","name","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","useful","notUseful","totalInBox"
"0001","វត្ដអូរអណ្ដូង","17","1","2","167","","0","0","27","71","0","2","287","2","289"
"0002","បឋមសិក្សា គោកទន្លាប់","24","1","0","273","","2","2","3","79","1","3","388","0","388"
"0003","សាលារៀនពង្រ","9","4","3","250","","2","4","1","53","1","5","332","5","337"
"0004","វត្ដត្រាង","17","1","4","153","","1","5","1","30","1","2","215","2","217"
"0005","វត្ដបន្ទាយនាង","46","1","6","206","","2","1","1","53","2","3","321","3","324"
"0006","បឋមសិក្សា បន្ទាយនាង","55","2","3","135","","0","3","7","87","3","10","305","4","309"
"0007","បឋមសិក្សា បន្ទាយនាង","62","1","3","145","","0","0","7","103","0","12","333","2","335"
"0008","បឋមសិក្សា ឃីឡិក","21","0","0","263","","1","4","4","70","1","2","366","2","368"
"0009","សាលារៀនដងរុន","10","0","3","149","","1","2","16","71","1","5","258","0","258"
"0010","សាលារៀន ព្រៃចងា(អាគារទី២)","14","1","3","179","","0","0","22","79","1","4","303","4","307"
"0011","វត្ដគោកក្ដួច","32","1","2","108","","0","3","32","83","1","15","277","1","278"
"0012","បោះតង់នៅភូមិអូរស្ងួត","22","2","6","204","","0","0","15","69","0","6","324","1","325"
"0013","សាលារៀនព្រៃចង្ហា(អាគារទី១)","57","2","3","178","","0","4","13","88","1","6","352","5","357"
"0014","សាលាអូរអណ្ដូងអាគារត្បូង","39","1","8","182","","0","1","41","34","1","1","308","2","310"
"0015","សាលាអូរអណ្ដូងអាគារលិច","55","0","1","179","","1","4","31","25","0","3","299","5","304"
"0016","សាលារៀនដងរុន","12","0","3","185","","0","1","4","144","0","0","349","9","358"
"0017","សាលាបឋមសិក្សាអូរធំ","39","0","2","141","","1","4","11","53","2","6","259","3","262"
"0018","សាលាឃីឡិក(អាគារខាងជើង)","14","1","2","274","","0","4","1","24","1","12","333","0","333"
"0019","បឋមសិក្សា បន្ទាយនាង","23","0","3","237","","0","1","6","103","0","5","378","5","383"
"0020","មន្ទីរសុខភាពឃុំ","14","1","5","197","","2","3","137","37","1","0","397","3","400"
"0021","បឋមសិក្សា អន្លង់ថ្ងាន់","7","3","1","162","","1","2","138","52","1","19","386","3","389"
"0022","បឋមសិក្សា អន្លង់ថ្ងាន់","12","3","3","126","","1","4","138","28","0","0","315","0","315"
"0023","សាលារៀនអន្លង់ថ្ងាន់","10","1","1","246","","1","1","70","28","2","2","362","1","363"
"0024","សាលារៀនបត់ត្រង់","23","1","2","243","","2","4","63","133","0","8","479","1","480"
"0025","សាលារៀនបត់ត្រង់","20","4","1","414","","2","2","53","44","0","6","546","3","549"
"0026","បឋមសិក្សា បត់ត្រង់","6","0","2","280","","0","0","13","81","2","5","389","1","390"
"0027","វត្ដស៊ីនន្នារាម","11","0","2","251","","1","1","3","35","0","1","305","2","307"
"0028","វត្ដស៊ីនន្នារាម","32","0","2","207","","0","0","17","62","0","2","322","1","323"
"0029","វត្ដកាតូលិក","34","5","2","246","","1","0","12","92","0","2","394","7","401"
"0030","សាលារៀនរោងគោ","35","2","4","172","","0","1","30","134","1","5","384","2","386"
"0031","សាលារៀនគោកពនៃ","16","1","0","225","","1","3","7","29","0","3","285","4","289"
"0032","សាលារៀនគោកពនៃ","14","0","0","184","","1","3","5","69","0","3","279","1","280"
"0033","វត្ដដងត្រាង","25","3","1","191","","1","1","6","43","3","2","276","4","280"
"0034","សាលារៀនជួរខ្ចាស់","23","1","2","292","","0","4","7","70","1","4","404","5","409"
"0035","សាលារៀនបឹងត្រស់","34","2","3","214","","0","5","4","53","3","17","335","8","343"
"0036","សាលារៀនរោងគោ","19","1","2","147","","2","2","43","124","3","7","350","7","357"
"0037","សាលារៀនរោងគោ","30","0","5","149","","1","0","24","163","1","14","387","6","393"
"0038","វត្ដរោងគោ","13","1","1","205","","1","1","3","148","0","3","376","3","379"
"0039","សាលារៀនដងត្រាង","50","2","8","103","","0","1","8","33","0","2","207","3","210"
