"number","name","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","useful","notUseful","totalInBox"
"0001","សាលាកំពង់អំពិល","3","1","15","405","","2","1","19","50","0","3","499","11","510"
"0953","សាលាកំពង់អំពិល","4","1","2","102","","0","2","3","9","0","2","125","2","127"
"0002","សាលារៀនស្វាយព្រៃ","8","7","9","262","","2","5","35","123","2","4","457","13","470"
"0938","សាលារៀនស្វាយព្រៃ","7","2","13","194","","2","2","26","106","1","1","354","9","363"
"0003","សាលាសសរពក","16","4","17","239","","4","7","15","78","1","5","386","4","390"
"0765","សាលាសសរពក","14","1","5","195","","1","1","17","116","0","2","352","6","358"
"0004","សាលាកន្ទឺ២","20","2","12","192","","5","5","22","78","1","7","344","4","348"
"0005","សាលាបាណន់","13","3","20","291","","1","7","40","48","0","14","437","8","445"
"0006","សាលាបាលី វត្ដបាណន់លេ","13","2","11","347","","0","7","17","63","0","12","472","3","475"
"0843","សាលារៀនកំប៉ង់កើត","5","1","5","262","","2","3","14","22","1","6","321","4","325"
"0007","សាលាកន្ទឺ២","14","2","9","249","","4","3","22","52","1","12","368","7","375"
"0008","សាលាឆាយរំពាត់","20","7","20","277","","3","4","43","116","5","7","502","4","506"
"0009","សាលារៀនកំពង់ចែង","41","6","10","182","","3","2","78","112","1","18","453","4","457"
"0010","សាលាបាយដំរាំ","45","4","4","203","","0","8","35","146","0","8","453","2","455"
"0011","សាលាបាយដំរាំ","53","4","15","178","","1","12","44","119","0","7","433","2","435"
"0012","សាលាមត្ដេយ្យបាយដំរាំ","57","3","14","156","","3","11","61","117","1","4","427","2","429"
"0013","សាលាព្រៃទទឹង","23","2","14","245","","5","2","34","119","2","11","457","8","465"
"0014","សាលាទួលច្រនៀង","48","2","17","186","","6","2","37","87","1","5","391","4","395"
"0015","សាលាក្រឡាពាស","30","4","5","157","","5","7","43","45","0","39","335","2","337"
"0766","សាលាក្រឡាពាស","26","1","7","146","","0","4","34","48","1","27","294","2","296"
"0016","សាលារៀនភូមិដូង","19","2","23","151","","2","10","35","119","1","13","375","3","378"
"0017","សាលារៀនថ្កូវ","14","3","4","174","","1","4","23","201","1","17","442","13","455"
"0767","សាលារៀនថ្កូវ","5","1","4","147","","0","2","22","128","3","10","322","6","328"
"0018","សាលារៀនអន្លង់តាមុី","13","3","10","238","","4","14","39","161","3","7","492","7","499"
"0019","សាលារៀនអន្លង់តាមុី","28","2","14","236","","2","4","84","94","4","11","479","3","482"
"0020","សាលារៀនបាយដំរាំ","50","1","22","326","","3","6","30","61","2","11","512","9","521"
"0021","សាលាបត់សាលា ( ឥន្ទជិត )","13","0","16","229","","0","5","37","83","0","15","398","5","403"
"0022","វត្ដឈើទាល ( កំពង់ស្រម៉ )","17","8","13","161","","4","6","49","167","1","11","437","3","440"
"0023","សាលារៀនឈើទាល ( ខ្នា )","13","0","17","152","","1","2","45","151","1","9","391","9","400"
"0024","សាលារៀនឈើទាល","7","0","14","128","","1","2","42","148","0","2","344","2","346"
"0025","សាលារៀនឈើទាល","7","2","16","155","","0","2","40","159","0","6","387","2","389"
"0026","សាលារៀនកំពង់ឆ្លង","41","5","25","195","","2","5","37","183","0","9","502","2","504"
"0027","សាលារៀនបតសាលា","20","1","7","238","","0","8","31","151","0","4","460","5","465"
"0028","សាលារៀនបត់សាលា","20","2","10","237","","2","6","31","121","2","12","443","2","445"
"0029","សាលារៀនស្វាយប្រគាប","35","5","28","253","","0","13","33","67","2","35","471","8","479"
"0030","សាលារៀនភូមិដូង","16","4","9","230","","1","5","17","88","1","6","377","6","383"
"0768","សាលារៀនភូមិដូង","12","2","4","196","","1","3","12","83","1","4","318","4","322"
"0031","សាលារៀនរូង","8","3","11","293","","1","5","28","90","0","9","448","5","453"
"0939","សាលារៀនរូង","15","3","9","247","","4","2","49","60","2","5","396","8","404"
"0032","សាលារៀនធ្ង័រ","19","0","15","221","","1","7","32","77","1","49","422","5","427"
"0844","សាលារៀនរូង","12","5","7","253","","1","5","19","55","0","4","361","12","373"
"0033","សាលារៀនបុះខ្នុរ","24","4","10","273","","4","3","79","58","3","5","463","9","472"
"0974","សាលារៀនប៉ៃឡាំ","17","3","11","382","","1","8","19","39","1","11","492","7","499"
"0034","សាលារៀនក្រពើត្បូង","16","2","3","369","","3","7","15","50","0","1","466","8","474"
"0035","សាលារៀនក្រពើត្បូង","11","3","7","199","","0","1","9","25","0","6","261","11","272"
"0036","សាលារៀនកំប៉ូវ","13","2","18","358","","0","10","50","47","1","3","502","5","507"
"0897","សាលារៀនកំប៉ូវ","2","1","8","146","","0","4","14","35","0","2","212","2","214"
"0037","វិទ្យាល័យហ៊ុន សែន","13","2","39","335","","3","5","12","86","0","10","505","3","508"
"0038","សាលារៀនសម្ដេចឪ មែ","21","0","24","361","","2","3","35","78","3","13","540","6","546"
"0039","សាលារៀនភូមិក្ដោង","7","1","6","266","","3","5","13","49","0","2","352","3","355"
"0040","សាលារៀនសម្ដេចឪ មែ","17","4","10","307","","0","4","32","117","2","5","498","7","505"
"0041","សាលារៀនសម្ដេចឪ មែ","11","1","7","268","","0","6","40","118","1","4","456","3","459"
"0042","សាលារៀនភ្នំក្រពើជេង","14","5","15","360","","2","6","28","83","0","7","520","3","523"
"0043","សាលារៀនភ្នំក្រពើជេង","10","5","8","287","","5","3","22","99","1","7","447","4","451"
"0044","សាលារៀនភ្នំក្រពេ","26","1","7","177","","3","2","23","55","0","4","298","15","313"
"1001","សាលារៀនភំ្ន ្រកពេ","13","0","11","158","","0","2","17","63","0","4","268","13","281"
"0045","សាលារៀនចែងក្ដារ","16","5","7","320","","0","3","83","69","0","8","511","2","513"
"0046","សាលារៀនភូមិសំណាញ់","20","2","10","350","","2","3","9","70","1","8","475","9","484"
"0769","សាលារៀនភូមិសំណាញ់","14","0","3","176","","0","2","9","59","0","8","271","0","271"
"0047","អនុវិទ្យាល័យស្នឹង","14","1","4","238","","0","3","27","74","0","23","384","4","388"
"0048","អនុវិទ្យាល័យស្នឹង","15","3","5","154","","0","3","34","68","1","33","316","1","317"
"0049","វត្ដស្នឹង","12","8","5","157","","1","2","28","66","1","13","293","13","306"
"0050","វត្ដស្នឹង","20","8","6","243","","3","8","22","130","4","24","468","8","476"
"0051","សាលាបឋមសិក្សារំជៃ","19","3","8","160","","0","3","9","43","1","5","251","5","256"
"0052","សាលាបឋមសិក្សារំជៃ","11","0","17","236","","1","2","19","73","0","17","376","7","383"
"0053","សាលាបឋមសិក្សាភូមិគរ","14","2","13","232","","1","1","15","110","3","18","409","6","415"
"0054","សាលាបឋមសិក្សាបឹងប្រិយ","25","1","8","133","","2","2","48","34","1","22","276","7","283"
"1003","សាលាបឋមសិក្សាបឹងប្រិយ","18","4","4","195","","2","4","32","36","0","27","322","2","324"
"0770","បឋមសិក្សាពាក់ស្បែក","17","3","14","226","","4","6","14","100","0","16","400","3","403"
"0845","បឋមសិក្សាបឹងក្រសាល","13","1","5","175","","1","4","11","58","2","19","289","6","295"
"1002","បឋមសិក្សាបឹងក្រសាល","12","2","6","204","","3","1","22","45","3","15","313","9","322"
"0055","សាលាបឋមសិក ្សាស្នឹង","10","0","13","244","","1","4","16","114","1","41","444","5","449"
"0056","សាលាបឋមសិក្សាភូមិគរ","24","4","2","230","","3","5","55","53","1","22","399","5","404"
"0057","សាលាបឋមសិក្សាស្នឹង","11","1","3","169","","0","2","4","66","1","18","275","10","285"
"0058","សាលាបឋមសិក្សាស្នឹង","11","0","2","160","","1","2","8","66","1","14","265","4","269"
"0059","វត្ដស្នឹង","13","3","6","216","","3","6","17","159","3","21","447","5","452"
"0060","សាលារៀនតាគ្រាម","11","5","5","317","","5","0","44","92","1","4","484","5","489"
"0061","សាលារៀនតាង៉ែន","6","1","2","144","","1","2","14","41","1","6","218","4","222"
"1004","សាលារៀនតាង៉ែន","9","1","5","154","","1","3","7","82","0","5","267","1","268"
"0898","សាលារៀនតាង៉ែន","15","2","2","271","","2","4","16","116","1","7","436","18","454"
"0064","សាលារៀនតាង៉ែន","7","4","7","241","","6","4","12","106","1","16","404","3","407"
"0062","សាលារៀនភក្ដី","7","1","9","248","","0","4","47","151","1","7","475","10","485"
"0063","សាលាសិលាកែវ","17","1","10","213","","3","3","47","95","2","3","394","2","396"
"0846","សាលារៀនសិលាកែវ","8","1","6","133","","4","3","25","85","1","8","274","21","295"
"0896","សាលារៀនអូរស្លាប៉ាង","9","2","2","116","","1","0","22","27","0","2","181","6","187"
"1007","សាលារៀនអូរស្លាប៉ាង","11","1","1","170","","1","5","25","30","0","8","252","15","267"
"0899","សាលារៀនអណ្ដូងនាង","5","0","1","129","","1","2","70","62","0","2","272","6","278"
"0065","សាលារៀនភូមិថ្មី","18","5","4","340","","6","5","24","111","0","6","519","6","525"
"0066","សាលារៀនភូមិថ្មី","26","5","5","272","","1","2","28","115","4","4","462","3","465"
"0067","សាលារៀនអូរពងមាន់","19","3","3","191","","0","4","18","57","1","1","297","9","306"
"1005","សាលារៀនអូរពងមាន់","15","2","4","174","","0","3","14","55","0","1","268","8","276"
"0771","អនុវិទ្យាល័យតាគ្រាម","13","0","0","173","","2","4","13","56","1","2","264","8","272"
"0068","សាលារៀនអូរតាញា","25","3","6","219","","1","5","35","97","0","6","397","14","411"
"0900","សាលារៀនអូរតាញា","11","1","2","174","","1","3","21","63","0","4","280","0","280"
