"province_kh_name","province_en_name","district_kh_name","district_en_name","commune_kh_name","commune_en_name","station_number","station_name","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","useful_votes","non_useful_votes","total_in_box"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0001","ចំកណ្ដាលតូបស្វាយពក","6","1","3","264","0","0","","5","256","6","40","581","11","592"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0002","បឋមសិក្សា ជ្រែក","19","3","1","231","1","0","","5","91","1","4","356","13","369"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","1990","បឋមសិក្សា ជ្រែក","12","1","3","147","0","0","","6","97","1","3","270","2","272"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0003","បឋមសិក្សា ស្រះព្រីង","29","2","5","237","5","1","","38","165","3","85","570","9","579"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0004","បឋមសិក្សា ស្រះព្រីង","28","5","7","237","2","5","","28","161","2","61","536","7","543"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0005","បឋមសិក្សា អូរម៉ាល់","62","1","2","309","2","3","","47","65","4","58","553","4","557"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0006","បឋមសិក្សា អូរម៉ាល់","50","1","2","270","1","0","","25","74","4","61","488","5","493"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0007","បឋមសិក្សា វត្ដទួលអណ្ដែត","30","1","1","481","1","3","","13","35","1","18","584","5","589"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0008","បឋមសិក្សា វត្ដទួលអណ្ដែត","43","1","8","414","1","0","","7","52","3","27","556","4","560"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0009","បឋមសិក្សា វត្ដទួលអណ្ដែត","50","5","2","298","1","2","","11","48","1","26","444","4","448"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0010","បឋមសិក្សា បាធាយ","22","5","3","248","1","1","","31","105","8","55","479","12","491"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0011","បឋមសិក្សា បាធាយ","34","2","6","257","1","3","","18","115","6","86","528","4","532"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","1889","បឋមសិក្សា បាធាយ","22","1","1","161","0","0","","16","106","3","47","357","3","360"
"កំពង់ចាម","Kampong Cham","បាធាយ","Batheay","បាធាយ","Batheay","0012","បឋមសិក្សា បាធាយ","36","4","5","205","0","1","","17","109","8","66","451","3","454"
