"number","name","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","useful","notUseful","totalInBox"
"0001","បឋមសិក្សា បសេដ","10","1","0","165","1","","","19","66","2","44","308","1","309"
"0725","បឋមសិក្សា បសេដ","10","2","5","157","1","","","14","37","2","76","304","2","306"
"0002","ភូមិកន្លង","35","7","9","205","5","","","26","87","7","91","472","9","481"
"0625","ភូមិកន្លង","10","1","1","82","1","","","13","47","1","54","210","5","215"
"0003","សាលារៀនព្រៃត្បែង","13","4","3","342","1","","","17","43","3","32","458","4","462"
"0568","សាលារៀនព្រៃត្បែង","9","3","4","256","2","","","3","18","0","22","317","2","319"
"0004","ភូមិទួលខ្ជាយ","34","9","13","333","5","","","25","99","4","24","546","31","577"
"0005","ភូមិព្រៃរំដួលជើង (រោងបុណ្យភូមិ)","18","6","6","327","1","","","20","132","2","53","565","15","580"
"0006","ភូមិតាប្រាជ","29","6","2","231","6","","","28","51","4","59","416","7","423"
"0626","ភូមិតាប្រាជ","7","0","1","110","3","","","17","30","1","30","199","4","203"
"0007","ភូមិត្រពាំងឈូក","17","3","8","331","5","","","15","43","2","38","462","14","476"
"0008","ភូមិត ្ម ាតលេង","11","1","11","464","1","","","8","31","2","35","564","6","570"
"0009","ភូមិព្រៃរំដួលលិច(ដំណាក់ភូមិ )","18","5","9","216","0","","","15","41","1","23","328","7","335"
"0010","ភូមិព្រៃរំដួលត្បូង(ដំណាក់ភូមិ)","14","3","8","328","4","","","22","104","2","5","490","11","501"
"0011","ភូមិព្រៃសំព័រ","58","5","5","171","2","","","22","116","7","63","449","10","459"
"0621","បឋមសិក្សា សេរីសោភ័ណ","36","3","2","112","1","","","19","62","3","27","265","14","279"
"0012","ភូមិរកាធ","63","5","8","195","5","","","30","110","5","72","493","12","505"
"0013","វត្ដទួលដងិ្ហត","44","5","4","192","5","","","23","113","4","100","490","7","497"
"0014","ភូមិវាលល្វាង (ផ្ទះប្រជាជន)","44","3","5","185","2","","","21","118","3","41","422","11","433"
"0569","សាលាដំណាក់(ភូមិវាលល្វាង)","35","8","5","125","3","","","14","97","4","31","322","16","338"
"0015","ភូមិរកាកោង (ផ្ទះប្រជាជន )","119","9","23","142","1","","","23","88","6","51","462","10","472"
"0628","ភូមិរកាកោង (ផ្ទះប្រជាជន )","63","7","6","161","1","","","17","100","1","71","427","12","439"
"0016","សាលាដំណាក់ភូមិត្រពាំងឈូក","59","5","11","227","1","","","9","155","3","79","549","5","554"
"0017","ភូមិត្រាកង","32","1","10","92","0","","","15","95","7","154","406","1","407"
"0673","ភូមិត្រាកង","14","2","1","68","0","","","1","73","1","65","225","5","230"
"0018","ភូមិដីក្រហម (រោងបុណ្យភូមិ)","19","2","5","192","1","","","6","72","4","139","440","4","444"
"0019","សាលាដំណាក់ភូមិក្រសាំងតាគង","35","5","8","246","3","","","8","119","2","77","503","9","512"
"0020","សាលារៀនអង្គលំទង","20","4","9","241","1","","","15","44","5","32","371","13","384"
"0570","សាលារៀនអង្គលំទង","19","2","10","213","0","","","25","57","0","37","363","8","371"
"0021","សាលារៀនអង្គខ្នា","26","2","4","387","9","","","7","49","0","21","505","10","515"
"0757","សាលាដំណាក់ត្រពាំងខ្យង","4","2","9","280","4","","","1","2","0","0","302","7","309"
"0022","សាលារៀនវត្ដផុង","33","12","10","166","2","","","21","48","2","82","376","6","382"
"0629","សាលារៀនវត្ដផុង","12","3","1","75","1","","","20","23","1","48","184","5","189"
"0571","សាលារៀនវត្ដផុង","26","4","4","83","2","","","15","55","1","73","263","4","267"
"0023","ភូមិសហគមន៍ខាងកើត","28","2","4","201","1","","","30","58","5","40","369","2","371"
"0024","ភូមិព្រៃខ្លា","30","9","7","178","4","","","29","108","2","44","411","7","418"
"0025","ភូមិព្រៃរំដែល","29","5","7","229","5","","","17","43","2","121","458","42","500"
"0026","ភូមិព្រៃងោង (សាលាដំណាក់ភូមិ)","21","5","9","271","2","","","12","82","8","172","582","5","587"
"0027","សាលាដំណាក់(ភូមិថ ្ម ី)","34","7","12","209","4","","","45","96","6","108","521","8","529"
"0028","សាលាដំណាក់(ភូមិព្រះម្លប់)","19","5","2","93","1","","","48","79","4","97","348","3","351"
"0730","សាលាដំណាក់(ភូមិព្រះម្លប់)","16","3","1","93","1","","","21","59","0","51","245","3","248"
