"province_kh_name","province_en_name","district_kh_name","district_en_name","commune_kh_name","commune_en_name","station_number","station_name","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","useful_votes","non_useful_votes","total_in_box"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បាក់ស្នា","Bak Sna","0001","ភូមិត្រពាំងទូក","50","3","5","330","","1","3","35","26","2","43","498","4","502"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បាក់ស្នា","Bak Sna","0002","បាក់ស្នាក្រោម","43","3","4","273","","1","3","22","112","0","7","468","2","470"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បាក់ស្នា","Bak Sna","0003","បាក់ស្នាលេ","44","3","4","198","","3","2","31","158","2","10","455","3","458"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បាក់ស្នា","Bak Sna","0004","បឋមសិក្សា ភូមិអណ្ដោត","19","1","6","235","","4","5","13","91","2","3","379","18","397"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បាក់ស្នា","Bak Sna","0005","បឋមសិក្សា ភូមិអណ្ដោត","18","2","5","197","","3","3","15","95","3","6","347","11","358"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0006","វត្ដត្រពាំងជ្រៃ","23","5","13","314","","5","6","17","84","2","2","471","15","486"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0634","វត្ដត្រពាំងជ្រៃ","13","2","4","110","","1","2","2","53","0","1","188","4","192"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0007","បឋមសិក្សា ព្រៃស្រងែ","18","3","7","192","","4","3","18","76","2","1","324","7","331"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0008","បឋមសិក្សា បល្ល័ង្គទូល","48","2","6","335","","3","2","23","121","1","10","551","5","556"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0009","បឋមសិក្សា ស្រឡៅតូង","5","1","6","239","","0","1","6","102","1","0","361","1","362"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0010","សាលាមត្ដេយ្យត្រពាំងស្វាយ","14","1","3","122","","2","2","15","224","0","15","398","4","402"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0011","បឋមសិក្សា បល្ល័ង្គទូល","55","8","13","243","","3","2","32","166","1","6","529","6","535"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0012","វត្ដព្រៃតាត្រាវ","13","2","2","213","","0","4","8","253","2","7","504","4","508"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0013","ដើមភូមិ(ផ្ទះប្រជាជន)","15","2","2","202","","0","2","35","144","0","11","413","4","417"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0014","ចុងភូមិ(ផ្ទះប្រជាជន)","23","1","5","181","","0","0","22","133","0","10","375","2","377"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0656","ចុងភូមិ(ផ្ទះប្រជាជន)","9","1","0","163","","0","2","9","111","0","11","306","3","309"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0015","វត្ដបារាយណ៍","18","2","2","184","","4","5","16","167","1","14","413","4","417"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0016","សាលាគំរូ","9","0","1","231","","0","1","21","160","2","12","437","8","445"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0017","សាលាបឋមសឹ្ទងជីនិត","5","2","1","198","","0","0","7","244","0","9","466","2","468"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0645","សាលាបឋមសក្សាគរ","6","0","2","168","","1","4","7","189","1","8","386","1","387"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0018","សាលាមត្ដេយ្យត្រពាំងស្វាយ","23","1","1","207","","0","0","16","104","0","14","366","6","372"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0019","សាលាបឋមព្រៃស្រងែ","9","0","5","143","","0","3","10","101","1","6","278","5","283"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បល្ល័ង្ក","Balangk","0020","សាលាបុណ្យតាភោគ(ភូមិតាភោគ)","26","1","4","106","","2","4","18","62","1","2","226","3","229"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0021","ស្វាយ","8","1","2","297","","0","3","6","70","1","5","393","4","397"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0022","ចតុលោកជើង","8","1","4","189","","2","6","26","141","2","3","382","7","389"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0693","សាលាចតុលោក","5","2","5","97","","1","1","29","201","1","3","345","1","346"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0023","ចតុលោកតឡូង","8","1","3","175","","8","0","31","179","3","4","412","8","420"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0024","ពោធ៍ិពីរ","22","2","2","120","","0","1","32","81","0","7","267","2","269"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0025","បាណក","24","1","6","214","","4","5","47","158","5","6","470","8","478"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0658","បារាយណ៍ធ","12","0","0","51","","1","1","11","81","0","1","158","2","160"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0026","សំរោង","19","5","3","304","","3","1","28","88","1","2","454","7","461"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0646","សាលារៀនសំរោង","8","1","0","162","","0","2","13","84","0","2","272","5","277"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0027","ក្រសាំងជ័យ","7","0","2","156","","2","0","11","208","1","10","397","3","400"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0028","អូរសួស្ដី","14","2","1","126","","0","0","25","116","3","8","295","3","298"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0029","ថ្នល់ជាត","9","1","2","212","","2","1","37","237","2","18","521","2","523"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0030","ជីអោក","4","1","3","279","","0","2","18","188","1","18","514","8","522"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0031","ថ្នល់ថ","10","1","9","206","","4","1","18","132","1","9","391","6","397"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បារាយណ៍","Baray","0032","បារាយណ៍តូច","10","2","2","218","","2","4","9","137","1","12","397","5","402"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បឹង","Beung","0033","សាលាបឹងខាងជើង","34","1","6","189","","0","6","11","198","2","7","454","6","460"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បឹង","Beung","0581","សាលាបឹងខាងជើង","21","1","6","152","","0","8","13","152","1","11","365","6","371"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បឹង","Beung","0034","សាលាបឹងខាងត្បូង","51","3","3","234","","1","2","37","86","0","6","423","4","427"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បឹង","Beung","0582","សាលាបឹងខាងត្បូង","25","1","5","177","","2","3","25","144","2","8","392","4","396"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បឹង","Beung","0035","សាលាបឹងខាងត្បូង","31","0","3","219","","1","2","36","147","1","4","444","1","445"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បឹង","Beung","0036","សាលាបឹងខាងត្បូង","41","5","6","225","","2","3","35","137","3","5","462","5","467"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បឹង","Beung","0037","សាលារៀនត្រពាំងឈូក","5","0","1","337","","0","7","5","27","1","2","385","3","388"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បឹង","Beung","0038","សាលារៀនត្រពាំងឈូក","3","3","4","371","","1","3","3","44","1","3","436","5","441"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បឹង","Beung","0039","សាលារៀនត្រពាំងឈូក","6","1","2","328","","3","5","1","5","0","1","352","6","358"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","បឹង","Beung","0040","សាលារៀនត្រពាំងឈូក","1","1","1","224","","4","4","1","7","0","4","247","18","265"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ចើងដើង","Cheungdeung","0041","សាលារៀនចើងដើង","12","2","1","205","","2","3","69","116","4","2","416","5","421"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ចើងដើង","Cheungdeung","0042","សាលារៀនពណ្ណរាយ","14","6","4","266","","0","4","106","95","0","5","500","6","506"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ចើងដើង","Cheungdeung","0043","សាលារៀនចើងដើង","16","5","5","309","","6","7","100","37","2","5","492","8","500"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ចើងដើង","Cheungdeung","0044","សាលារៀនចើងដើង","28","2","11","311","","4","2","48","60","3","15","484","6","490"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ចើងដើង","Cheungdeung","0045","សាលារៀនចើងដើង","15","3","1","422","","5","1","61","40","0","10","558","6","564"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ចើងដើង","Cheungdeung","0046","សាលារៀនពណ្ណរាយ","14","10","5","307","","3","2","137","86","4","5","573","4","577"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ចើងដើង","Cheungdeung","0047","វត្ដពណ្ណរាយ","14","2","1","353","","5","4","89","74","3","7","552","4","556"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ចើងដើង","Cheungdeung","0048","វត្ដពណ្ណរាយ","14","3","0","276","","2","1","67","70","0","5","438","6","444"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ចើងដើង","Cheungdeung","0049","វត្ដប្រនាគ","13","0","4","264","","0","2","47","25","0","0","355","2","357"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ចើងដើង","Cheungdeung","0050","វត្ដប្រនាគ","8","2","3","284","","2","7","48","37","2","1","394","8","402"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ចើងដើង","Cheungdeung","0051","សាលារៀនសំពៅលូន","19","8","6","131","","5","8","99","65","1","42","384","5","389"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ច្រនាង","Chroneang","0052","ភូមិត្រពាំងវែងផ្ទះ ប្រាក់ យន់","51","4","5","261","","6","5","14","105","4","38","493","8","501"
"កំពង់ធំ","Kampong Thom","បារាយណ៍","Baray","ច្រនាង","Chroneang","0053","វត ថ ្លា","13","0","4","134","","1","0","11","278","1","12","454","0","454"
