"province_kh_name","province_en_name","district_kh_name","district_en_name","commune_kh_name","commune_en_name","station_number","station_name","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","useful_votes","non_useful_votes","total_in_box"
"កំពត","Kampot","អង្គរជ័យ","Angkor Chey","អង្គភ្នំតូច","Angk Phnom Toch","0001","វត្ដអង្គភ្នំតូច","24","1","4","290","","","","26","116","1","6","468","6","474"
"កំពត","Kampot","អង្គរជ័យ","Angkor Chey","អង្គភ្នំតូច","Angk Phnom Toch","0002","សាលាអង្គភ្នំតូច","33","3","1","196","","","","35","97","1","16","382","3","385"
"កំពត","Kampot","អង្គរជ័យ","Angkor Chey","អង្គភ្នំតូច","Angk Phnom Toch","0003","បឋមសិក្សា អង្គភ្នំតូច","13","6","8","452","","","","10","106","2","16","613","8","621"
"កំពត","Kampot","អង្គរជ័យ","Angkor Chey","អង្គភ្នំតូច","Angk Phnom Toch","0004","បឋមសិក្សា អង្គភ្នំតូច","20","2","2","295","","","","0","175","0","7","501","2","503"
"កំពត","Kampot","អង្គរជ័យ","Angkor Chey","អង្គភ្នំតូច","Angk Phnom Toch","0005","វត្ដអង្គឈូក","58","3","10","240","","","","12","166","4","6","499","4","503"
"កំពត","Kampot","អង្គរជ័យ","Angkor Chey","អង្គភ្នំតូច","Angk Phnom Toch","0006","វត្ដអង្គភ្នំតូច","7","2","3","185","","","","50","54","0","16","317","7","324"
"កំពត","Kampot","អង្គរជ័យ","Angkor Chey","អង្គរជ័យ","Angkor Chey","0007","អនុវិទ្យាល័យវត្ដអង្គរជ័យ","79","5","5","193","","","","79","61","1","27","450","5","455"
"កំពត","Kampot","អង្គរជ័យ","Angkor Chey","អង្គរជ័យ","Angkor Chey","0008","វត្ដអង្គមន្រ","33","13","9","183","","","","139","108","5","14","504","4","508"
"កំពត","Kampot","អង្គរជ័យ","Angkor Chey","អង្គរជ័យ","Angkor Chey","0544","វត្ដអង្គមន្រ","11","3","3","133","","","","72","94","0","8","324","10","334"
"កំពត","Kampot","អង្គរជ័យ","Angkor Chey","អង្គរជ័យ","Angkor Chey","0009","បឋមសិក្សា អង្គមន្រ","19","6","8","156","","","","70","76","3","11","349","6","355"
