"province_kh_name","province_en_name","district_kh_name","district_en_name","commune_kh_name","commune_en_name","station_number","station_name","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","useful_votes","non_useful_votes","total_in_box"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","អំពៅព្រៃ","Ampov Prey","0001","សាលារៀនអំពៅព្រៃ","41","4","5","230","2","","","23","127","7","68","507","8","515"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","អំពៅព្រៃ","Ampov Prey","0002","សាលារៀនអំពៅព្រៃ","17","3","3","205","0","","","4","163","1","95","491","7","498"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","អំពៅព្រៃ","Ampov Prey","1094","សាលារៀនអំពៅព្រៃ","19","0","8","227","1","","","13","171","2","83","524","4","528"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","អំពៅព្រៃ","Ampov Prey","0003","សាលារៀនគោកចេះ","26","8","10","300","1","","","39","69","4","96","553","6","559"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","អំពៅព្រៃ","Ampov Prey","1161","សាលារៀនគោកចេះ","13","0","3","216","0","","","20","168","0","58","478","5","483"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","អំពៅព្រៃ","Ampov Prey","0004","សាលារៀនគោកចេះ","11","4","5","195","1","","","15","145","2","45","423","4","427"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","អំពៅព្រៃ","Ampov Prey","0005","សាលារៀនគោកចេះ","16","3","4","252","3","","","8","144","3","46","479","7","486"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","អន្លង់រមៀត","Anlong Romiet","0006","បឋមសិក្សា អន្លងរមៀត","23","0","4","354","1","","","14","98","5","40","539","4","543"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","អន្លង់រមៀត","Anlong Romiet","0007","វត្ដអន្លង់រមៀត (សាលាឆាន់)","10","2","5","358","2","","","15","95","4","39","530","9","539"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","អន្លង់រមៀត","Anlong Romiet","0008","បឋមសិក្សា ទួលសាលា","13","1","6","376","2","","","13","96","1","77","585","11","596"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","អន្លង់រមៀត","Anlong Romiet","1172","បឋមសិក្សា ទួលសាលា","16","2","3","363","0","","","6","102","2","52","546","16","562"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បាគូ","Barku","0012","បឋមសិក្សា បារគូ","16","0","12","303","0","","","15","69","0","78","493","4","497"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បាគូ","Barku","0013","សាលាបុណ្យភូមិឃ ្ម ត","2","1","2","237","1","","","4","54","0","43","344","2","346"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បាគូ","Barku","1163","បឋមសិក្សា បារគូ","13","0","4","349","0","","","11","103","2","80","562","4","566"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បាគូ","Barku","0011","បឋមសិក្សា បារគូ","20","1","6","327","1","","","21","67","4","54","501","6","507"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បាគូ","Barku","0010","វិទ្យាល័យកំពង់កន្ទួត","14","1","6","343","2","","","17","108","1","63","555","2","557"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បាគូ","Barku","0009","ព្រះវិហារកាតូលិក","9","1","7","310","1","","","63","78","3","45","517","6","523"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បឹងខ្យាង","Boeng Khyang","0014","សាលារៀនបឹងខ្យាង","33","1","12","248","0","","","10","116","2","118","540","7","547"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បឹងខ្យាង","Boeng Khyang","0015","សាលារៀនបឹងខ្យាង","25","2","17","288","4","","","17","102","2","110","567","4","571"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បឹងខ្យាង","Boeng Khyang","1174","សាលារៀនបឹងខ្យាង","10","4","7","288","3","","","22","149","1","95","579","17","596"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បឹងខ្យាង","Boeng Khyang","0016","សាលារៀនបឹងខ្យាង","18","4","11","287","10","","","7","56","1","129","523","7","530"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បឹងខ្យាង","Boeng Khyang","0017","សាលារៀនបឹងខ្យាង","20","1","3","222","4","","","71","144","5","61","531","10","541"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","បឹងខ្យាង","Boeng Khyang","0018","សាលារៀនបឹងខ្យាង","15","2","8","336","1","","","20","76","1","105","564","9","573"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","ជើងកើប","Cheung Kaeub","0019","វត្ដមហាខេត្ដវ័ន","7","1","5","320","1","","","40","36","1","66","477","7","484"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","ជើងកើប","Cheung Kaeub","0020","សាលារៀនជើងកើប","17","2","1","283","0","","","7","47","3","42","402","1","403"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","ជើងកើប","Cheung Kaeub","0021","វត្ដអង្គពណ្ណរាយ","56","0","4","300","1","","","9","65","0","37","472","3","475"
"កណ្ដាល","Kandal","កណ្តាលស្ទឹង","Kandal Stueng","ជើងកើប","Cheung Kaeub","0022","សាលារៀនប្រជុំអង្គ","20","0","3","214","1","","","10","33","2","68","351","4","355"
