"number","name","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","useful","notUseful","totalInBox"
"0001","វត្ដអណ្ដូងទឹក","6","2","2","232","","","","11","38","0","13","304","2","306"
"0002","សាលារៀនមូលនិធ","8","1","4","226","","","","4","40","0","6","289","5","294"
"0003","សាលារៀនអណ្ដូងទឹក","23","1","1","185","","","","14","27","0","3","254","3","257"
"0161","សាលារៀនអណ្ដូងទឹក","11","0","0","181","","","","6","53","0","11","262","5","267"
"0004","ជីប្រៃ ( សាលាត្រេះត្រៃ )","19","3","4","141","","","","7","58","0","2","234","0","234"
"0005","វត្ដតាអុក","16","3","9","228","","","","3","58","1","4","322","4","326"
"0148","វត្ដតាអុក","8","3","0","163","","","","2","42","2","3","223","3","226"
"0006","វត្ដកណ្ដោល","30","0","2","197","","","","10","171","0","13","423","12","435"
"0007","ធ្នង់ ( ផ្ទះលោកអៀម_ហឹង )","23","6","3","132","","","","3","131","0","5","303","1","304"
"0162","ធ្នង់ ( ផ្ទះលោកអៀម_ហឹង )","16","3","2","135","","","","7","105","0","4","272","5","277"
"0149","សាលាបឋមសិក្សាឧបសម្ព័ន សុវណ្ណាបៃតង","21","1","0","245","","","","3","61","1","6","338","9","347"
"0008","វត្ដទួលពោធិ ( កុដិ )","14","4","6","261","","","","10","19","1","5","320","3","323"
"0122","វត្ដទួលពោធិ (សាលាឆាន់ )","9","6","3","245","","","","8","25","2","3","301","14","315"
"0009","វត្ដថ ្ម ស","14","3","5","311","","","","3","57","0","5","398","6","404"
"0010","សាលា(លី យ៉ុងផាត់)","18","2","6","266","","","","5","59","3","1","360","7","367"
"0011","សាលា(លី យ៉ុងផាត់)","24","4","4","276","","","","7","29","1","5","350","4","354"
"0012","សាលារៀន (ទៀ បាញ់ )","12","6","2","243","","","","7","72","2","2","346","8","354"
"0123","សាលារៀន (ទៀ បាញ់ )","11","4","2","232","","","","4","42","2","3","300","5","305"
"0013","ស្រែត្រាវ(ផ្ទះលោក អាន_នាគ)","9","4","4","205","","","","11","29","2","2","266","17","283"
"0124","ភូមិស្រែថ្ម ី ( សាលារៀន )","12","7","4","271","","","","9","49","0","5","357","2","359"
"0014","សាលារៀនចំការលេ","14","3","4","278","","","","4","21","0","5","329","11","340"
"0015","សាលារៀនចំលងគោ","26","10","3","298","","","","8","41","0","7","393","10","403"
"0016","ព្រែកស្ម ាច់ (សាលារៀន)","10","2","3","334","","","","8","6","1","4","368","7","375"
"0017","វត្ដកោះស្ដេច","18","5","3","215","","","","9","21","0","2","273","6","279"
"0018","សាលារៀនកោះស្ដេច","10","4","4","243","","","","14","12","2","3","292","5","297"
"0150","សាលារៀនកោះស្ដេច","6","1","0","200","","","","8","8","1","2","226","5","231"
"0019","ក្បែរផែអាគារពាណិជ្ជកម្ម ចាស","6","1","2","245","","","","8","11","1","3","277","8","285"
"0020","តានី ( វត្ដស្រះច័ន្ទ )","6","0","4","461","","","","3","13","1","3","491","2","493"
"0021","សាលារៀន ព្រែកខ្សាច","2","3","6","370","","","","3","26","0","2","412","6","418"
"0147","សាលារៀន យាយសែន","2","4","5","224","","","","7","15","2","1","260","7","267"
"0022","វត្ដជ្រោយប្រស","4","2","1","283","","","","4","10","2","5","311","2","313"
"0125","សាលារៀនជ្រោយប្រស","3","0","1","300","","","","3","12","1","4","324","2","326"
"0023","វត្ដកោះកាព","10","2","0","291","","","","3","42","0","3","351","6","357"
"0024","វត្ដកោះស្រឡៅ","11","1","2","228","","","","17","40","4","4","307","17","324"
"0151","វត្ដកោះស្រឡៅ","10","2","0","185","","","","3","12","0","0","212","3","215"
