"province_kh_name","province_en_name","district_kh_name","district_en_name","commune_kh_name","commune_en_name","station_number","station_name","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","useful_votes","non_useful_votes","total_in_box"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ឆ្លូង","Chhloung","0001","ភូមិវត្ដសិលានទី","9","0","2","273","","","","11","121","0","8","424","4","428"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ឆ្លូង","Chhloung","0002","ភូមិវត្ដសិលានទី","4","2","1","218","","","","9","124","1","9","368","5","373"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ឆ្លូង","Chhloung","0003","សាលាឆាន់វត្ដឈៃ","36","2","3","321","","","","10","73","1","6","452","4","456"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ឆ្លូង","Chhloung","0004","បឋមសិក្សាភូមិកណ្ដាល","6","0","0","275","","","","8","127","1","11","428","3","431"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ឆ្លូង","Chhloung","0005","បឋមសិក្សាភូមិកណ្ដាល","3","1","2","188","","","","2","90","0","7","293","1","294"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ឆ្លូង","Chhloung","0006","បឋមសិក្សាឆ្លូង","3","5","5","225","","","","7","187","0","6","438","1","439"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ឆ្លូង","Chhloung","0007","បឋមសិក្សាឆ្លូង","7","1","1","167","","","","15","96","0","8","295","4","299"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ឆ្លូង","Chhloung","0008","បឋមសិក្សាឆ្លូង","4","0","3","211","","","","7","102","0","12","339","3","342"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ដំរីផុង","Damrei Phong","0009","បឋមសិក្សាដំរីផុង","28","1","3","353","","","","4","16","2","7","414","12","426"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ដំរីផុង","Damrei Phong","0264","បឋមសិក្សាដំរីផុង","15","1","4","370","","","","4","15","2","4","415","13","428"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ដំរីផុង","Damrei Phong","0010","សាលាឆទានប្រហួត","11","6","2","186","","","","6","17","0","5","233","8","241"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ដំរីផុង","Damrei Phong","0011","បឋមសិក្សាប្រឡាយទ្រៀក","22","7","12","239","","","","8","67","2","14","371","15","386"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ដំរីផុង","Damrei Phong","0012","បឋមសិក្សាព្រៃគោ","20","3","2","358","","","","16","134","3","7","543","11","554"
"ក្រចេះ","Kratie","ឆ្លូង","Chhloung","ដំរីផុង","Damrei Phong","0281","បឋមសិក្សាព្រៃគោ","4","1","3","148","","","","7","37","0","1","201","4","205"
