"province_kh_name","province_en_name","district_kh_name","district_en_name","commune_kh_name","commune_en_name","station_number","station_name","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","useful_votes","non_useful_votes","total_in_box"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ចុងផ្លាស់","Chong Phlas","0001","សាលារៀនអូរខ្លព្រៃមាស","5","0","4","117","","","","1","26","0","6","159","1","160"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ចុងផ្លាស់","Chong Phlas","0041","សាលារៀនអូរខ្លព្រៃមាស","8","0","5","137","","","","0","24","2","3","179","4","183"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ចុងផ្លាស់","Chong Phlas","0002","ផ្ទះសាធារណៈពូហ៊ូង","14","2","8","166","","","","1","25","2","1","219","16","235"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ចុងផ្លាស់","Chong Phlas","0046","សាលារៀនភូមិខ្ញែង","13","3","5","98","","","","4","9","0","0","132","5","137"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","មេម៉ង់","Memorng","0003","សាលារៀនមេម៉ង់","13","1","3","229","","","","10","20","1","4","281","4","285"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","មេម៉ង់","Memorng","0047","សាលារៀនមេម៉ង់","23","2","4","208","","","","21","26","0","2","286","18","304"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែឈូក","Sre Chhouk","0004","ផ្ទះសាធារណៈរហ៊ូត","5","5","5","193","","","","2","27","2","3","242","7","249"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែឈូក","Sre Chhouk","0005","ផ្ទះសាធារណៈ ភូមិរណែង","9","6","4","96","","","","1","6","0","4","126","9","135"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែឈូក","Sre Chhouk","0048","ផ្ទះសាធារណៈខ្ទង់","5","4","6","117","","","","1","11","0","0","144","6","150"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែឈូក","Sre Chhouk","0058","ផ្ទះសាធារណៈភូមិអូរកប","1","1","1","37","","","","1","4","0","0","45","7","52"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែខ្ទុម","Sre Khtum","0006","សាលារៀនអូរអាម","9","1","1","220","","","","13","37","1","9","291","8","299"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែខ្ទុម","Sre Khtum","0059","សាលារៀនអូរអាម","9","2","1","203","","","","6","53","1","11","286","5","291"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែខ្ទុម","Sre Khtum","0071","សាលារៀនអូរអាម","24","6","3","220","","","","10","64","1","10","338","4","342"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែខ្ទុម","Sre Khtum","0042","សាលារៀនពន្លឺថ្មី","6","3","2","87","","","","4","27","3","7","139","2","141"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែខ្ទុម","Sre Khtum","0063","សាលារៀនពន្លឺថ្មី","8","1","1","104","","","","3","26","1","3","147","0","147"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែខ្ទុម","Sre Khtum","0007","សាលារៀនភូមិឆ្នែង","6","1","4","244","","","","7","38","1","8","309","6","315"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែខ្ទុម","Sre Khtum","0066","សាលារៀនភូមិឆ្នែង","7","1","2","126","","","","4","21","0","4","165","2","167"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែខ្ទុម","Sre Khtum","0008","សាលារៀនភូមិអរណា","1","2","2","170","","","","2","6","0","1","184","18","202"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែខ្ទុម","Sre Khtum","0064","សាលារៀនភូមិអរណា","3","2","0","139","","","","0","18","0","1","163","12","175"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែខ្ទុម","Sre Khtum","0065","សាលារៀនត្រពាំងផេ","4","2","2","161","","","","9","29","0","8","215","20","235"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែព្រះ","Sre Preah","0009","សាលារៀនហ្គាទី","4","0","0","83","","","","3","0","0","0","90","1","91"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែព្រះ","Sre Preah","0049","សាលារៀនពូគុង","4","0","0","113","","","","1","2","0","0","120","5","125"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែព្រះ","Sre Preah","0010","សាលារៀនពូចារ","6","0","1","160","","","","0","3","0","2","172","2","174"
"មណ្ឌលគិរី","Mondulkiri","កែវសីមា","Kaev Seima","ស្រែព្រះ","Sre Preah","0050","សាលារៀនស្រែព្រះ","5","1","0","184","","","","2","27","0","0","219","3","222"
"មណ្ឌលគិរី","Mondulkiri","កោះញែក","Kaoh Nheaek","ណងឃីលិក","Nong Khileuk","0011","សាលារៀនវត្ដពាមជីមៀត","13","15","5","276","","","","11","38","4","7","369","32","401"
"មណ្ឌលគិរី","Mondulkiri","កោះញែក","Kaoh Nheaek","ណងឃីលិក","Nong Khileuk","0012","សាលារៀនកោះមឿល","11","4","3","218","","","","1","18","5","4","264","22","286"
