"number","name","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","useful","notUseful","totalInBox"
"0001","សាលាឃុំស្អាង","24","8","9","385","","","","24","42","2","5","499","27","526"
"0002","បឋម។ស្អាង_តស៊ូ (ការិ,ភ្លោះ)","26","6","5","218","","","","32","77","4","2","370","14","384"
"0151","បឋម។ស្អាង_តស៊ូ (ការិ,ភ្លោះ)","20","0","0","174","","","","19","57","0","4","274","9","283"
"0003","វត្ដព្រះឥន្ទទ្រង","15","0","2","162","","","","0","8","0","10","197","1","198"
"0118","សាលាឆទានភូមិតស","10","4","5","364","","","","2","16","1","6","408","16","424"
"0004","សាលារៀនភូមិសំរោង","45","13","5","134","","","","45","15","2","10","269","19","288"
"0005","វត្ដទួលបាល័្លង","48","13","9","254","","","","48","53","1","11","437","22","459"
"0142","វត្ដទួលបាល័្លង","14","6","0","114","","","","27","12","0","2","175","16","191"
"0006","សាលាភូមិមឺុនរាជ","88","10","4","259","","","","36","101","6","7","511","52","563"
"0007","ភូមិខ្យង","65","13","17","230","","","","33","42","3","3","406","20","426"
"0009","បឋមសិក្សា បដិវត្ដន","47","23","12","138","","","","40","97","3","12","372","10","382"
"0143","សាលាឆទានភូមិប្រមូលផ","43","6","8","242","","","","25","14","2","7","347","19","366"
"0008","វត្ដគិរីវ័ន","30","11","6","162","","","","10","75","4","4","302","20","322"
"0144","សាលាឆទានភូមិផ្លោច","30","12","8","217","","","","9","45","0","1","322","16","338"
"0010","ភូមិស្រែវាល","32","21","13","220","","","","44","40","7","9","386","62","448"
"0011","វត្ដធ ្ម ា","35","7","13","231","","","","28","101","1","14","430","16","446"
"0145","វត្ដធ ្ម ា","21","8","11","214","","","","26","93","6","7","386","11","397"
"0012","វត្ដសិលានិមត","13","7","5","354","","","","10","22","0","7","418","11","429"
"0013","សាលារៀនភូមិបរ","14","4","6","162","","","","38","38","4","2","268","10","278"
"0160","បឋមសិក្សាក្រវ៉ាន","5","3","1","77","","","","5","18","1","1","111","2","113"
"0014","វត្ដសំពៅកែវ","26","12","13","285","","","","49","84","3","6","478","12","490"
"0015","បឋមសិក្សាពើក","29","16","7","305","","","","42","112","3","4","518","11","529"
"0016","សាលារៀនឆែប","40","6","6","248","","","","42","156","2","7","507","10","517"
"0120","វត្ដ ចាស","8","0","2","221","","","","8","22","0","4","265","9","274"
"0017","វត្ដសុវណ្ណគិរី","21","9","4","393","","","","28","63","2","7","527","10","537"
"0018","សាលារៀនភូមិដងផ្លិត","18","8","10","196","","","","9","46","1","1","289","14","303"
"0161","សាលាឆទានភូមិគុណភាព","8","1","7","167","","","","12","57","1","2","255","10","265"
"0019","សាលាឆទានភូមិណារ៉ុង","21","13","8","136","","","","26","43","6","11","264","36","300"
"0020","សាលាឆទានភូមិស្រអែម","12","4","0","120","","","","9","5","0","4","154","1","155"
"0021","សាលាឆទានភូមិសងែ","17","4","2","309","","","","18","12","4","3","369","31","400"
"0022","សាលាឆទានភូមិសំបូរ","43","6","6","395","","","","28","24","2","6","510","21","531"
"0023","សាលារៀនភូមិម្លូព្រៃ","24","3","3","307","","","","33","32","0","2","404","25","429"
