"province_kh_name","province_en_name","district_kh_name","district_en_name","commune_kh_name","commune_en_name","station_number","station_name","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","useful_votes","non_useful_votes","total_in_box"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0001","បឋមសិក្សា បឹងព្រះ","27","1","4","241","","6","","6","126","6","66","477","8","485"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0002","បឋមសិក្សា ដីថុយ","21","1","16","327","","9","","9","46","6","55","482","3","485"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","1122","បឋមសិក្សា ដីថុយ","18","1","13","217","","3","","3","48","1","43","346","2","348"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0003","បឋមសិក្សា ដីថុយ","30","2","2","253","","7","","7","112","14","71","494","1","495"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0004","អនុវិ។បឹងព្រះ (ក្បែរសាលាឃុំ)","25","0","1","238","","10","","10","196","7","43","523","2","525"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0005","ផ្ទះ សួង ប៉ាច ភូមិក្បាលដំរីិ","47","0","13","167","","4","","4","96","3","72","405","2","407"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0006","ផ្ទះ ក្រូច រិត ភូមិឫស្សីក្អែក","65","0","6","152","","9","","9","90","1","52","380","5","385"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0007","វត្ដប្រស្រែ","39","0","6","166","","8","","8","246","1","51","519","7","526"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0008","វត្ដបឹងព្រះ","69","0","6","239","","2","","2","83","1","36","438","13","451"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0009","អនុវិទ្យាល័យបឹងព្រះ","24","0","16","263","","7","","7","89","0","57","460","5","465"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","1197","អនុវិទ្យាល័យបឹងព្រះ","23","3","7","164","","3","","3","120","1","47","369","3","372"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0010","បឋមសិក្សា បឹងព្រះ","42","3","1","258","","7","","7","154","3","88","558","18","576"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0011","វត្ដដីថុយ","67","0","2","260","","5","","5","54","4","90","484","11","495"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0012","វត្ដស្នែរាន","33","1","14","287","","5","","5","148","4","36","531","8","539"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0013","បឋមសិក្សា ប្រស្រែ","34","2","2","232","","9","","9","149","1","90","519","6","525"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","បឹងព្រះ","Beung Preah","0014","បឋមសិក្សា ដីថុយ","30","1","6","224","","3","","3","104","3","104","477","7","484"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","ជើងភ្នំ","Cheung Phnum","0015","សាលាពោធិអណ្ដោត","13","4","5","208","","7","","7","42","0","108","389","4","393"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","ជើងភ្នំ","Cheung Phnum","0016","សាលាពោធិអណ្ដោត","2","1","8","254","","9","","9","47","5","76","402","4","406"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","ជើងភ្នំ","Cheung Phnum","0017","វិទ្យាល័យបាភ្នំ","6","0","2","304","","4","","4","26","1","51","394","3","397"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","ជើងភ្នំ","Cheung Phnum","0018","បឋមសិក្សា ជ្រៃឧត្ដម","43","0","5","313","","3","","3","78","5","23","471","11","482"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","ជើងភ្នំ","Cheung Phnum","0019","បឋមសិក្សា ជ្រៃឧត្ដម","47","2","3","314","","8","","8","150","1","31","560","5","565"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","ជើងភ្នំ","Cheung Phnum","0020","វត្ដថ្ម ស","23","0","5","333","","10","","10","56","2","60","491","7","498"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","ជើងភ្នំ","Cheung Phnum","1110","វត្ដថ្ម ស","14","1","2","336","","2","","2","68","1","56","483","5","488"
"ព្រៃវែង","Prey Veng","បាភ្នំ","Ba Phnum","ជើងភ្នំ","Cheung Phnum","0021","សាលាព្រះវិហារធំ","11","0","0","206","","2","","2","53","7","53","333","2","335"
