"number","name","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","useful","notUseful","totalInBox"
"0001","បឋមសិក្សា ព្រះអំពិល","34","2","12","201","1","","2","13","60","0","13","338","7","345"
"0002","ផ្ទះ ឈ្មេ ាះ ហ៊ន អាន","34","5","14","316","1","","7","27","79","4","17","504","3","507"
"0003","បឋមសិក្សា ដងជ្រ","22","2","3","336","0","","3","10","21","2","7","406","2","408"
"0363","បឋមសិក្សា ដូងជ្រ","27","3","5","235","2","","0","34","25","0","5","336","4","340"
"0004","បឋមសិក្សា បត់ត្រាច","48","5","14","278","4","","6","28","43","1","19","446","7","453"
"0379","បឋមសិក្សា បត់ត្រាច","26","1","7","157","0","","2","11","23","0","13","240","4","244"
"0005","បឋមសិក្សា របងរមាស","55","2","17","311","1","","3","35","104","2","3","533","8","541"
"0006","បឋមសិក្សា របងរមាស","47","2","5","424","4","","4","2","66","0","7","561","2","563"
"0382","បឋមសិក្សា របងរមាស","38","2","1","201","0","","2","8","61","0","1","314","10","324"
"0007","បឋមសិក្សា សំរោង","26","2","6","151","2","","0","48","57","1","20","313","7","320"
"0337","បឋមសិក្សា ភូម អូរ","38","2","17","285","3","","1","15","61","1","4","427","3","430"
"0008","ផ្ទះ ស៊ុំ ឆាំ ភូមិបឹងឈូក","28","0","3","226","1","","6","6","20","1","3","294","6","300"
"0009","វត្ដបឹងខ្នារ","14","1","5","341","1","","1","5","46","1","1","416","0","416"
"0010","វត្ដព្រះម្លូរ","44","2","12","268","1","","6","11","38","2","4","388","3","391"
"0364","វត្ដព្រះម្លូរ","41","3","2","210","3","","0","11","39","1","7","317","3","320"
"0011","វត្ដខ្នាចរមាស","23","1","16","284","1","","3","11","73","1","17","430","6","436"
"0012","វត្ដព្រៃដំរី","76","1","3","208","1","","3","95","48","1","4","440","5","445"
"0013","វត្ដជ្រែ","4","0","1","337","1","","5","7","40","1","7","403","2","405"
"0338","វត្ដ  ែជ្រ","20","1","1","363","1","","2","2","32","0","6","428","3","431"
"0014","បឋមសិក្សា ព្រះម្លូរ","48","1","5","330","1","","1","15","75","3","6","485","8","493"
"0015","បឋមសិក្សា វត្ដជ្រែ","19","1","8","361","2","","1","13","27","1","2","435","3","438"
"0016","បឋមសិក្សា ព្រៃផ្ដៅ","22","0","4","180","2","","2","35","33","0","3","281","4","285"
"0339","បឋមសិក្សា ព្រៃផ្ដៅ","16","0","1","132","0","","2","42","35","0","1","229","5","234"
"0017","វត្ដខ្នារអណ្ដែត","28","1","21","289","1","","5","20","91","1","14","471","3","474"
"0018","បឋមសិក្សា បឹងខ្នារ","14","0","6","350","4","","1","7","93","1","18","494","1","495"
"0365","បឋមសិក្សា បឹងខ្នារ","11","0","0","287","0","","3","7","76","0","16","400","2","402"
"0019","បឋមសិក្សា ព្រៃស្វាយ","14","0","3","339","2","","1","15","99","1","3","477","2","479"
"0020","សាលារៀនបាក់មែក","18","1","14","158","1","","0","18","70","2","134","416","3","419"
"0021","បឋមសិក្សា ទួលអង្គ្រង","2","0","0","100","0","","1","0","6","0","2","111","3","114"
"0022","បឋមសិក្សា កោះសាយ","11","1","2","354","0","","2","16","47","2","70","505","5","510"
"0023","បឋមសិក្សា កោះវត","12","3","5","187","1","","1","8","68","1","88","374","5","379"
"0024","បឋមសិក្សា កោះក្រប","28","1","4","235","1","","0","52","65","1","30","417","2","419"
"0025","បឋមសិក្សា ដណាក់ធ ង","16","1","2","244","1","","0","33","125","1","28","451","0","451"
"0026","សាលារៀនខ្នារទទឹង","22","3","2","266","2","","2","25","57","1","22","402","5","407"
"0027","បឋមសិក្សា ខ្នារទទឹង","67","0","9","359","1","","3","29","48","0","15","531","4","535"
"0028","បឋមសិក្សា ផ្ទះស្លា","46","2","8","356","1","","3","32","47","0","9","504","2","506"
"0029","បឋមសិក្សា ទួលលៀប","8","0","18","241","0","","4","22","206","3","4","506","3","509"
"0030","វត្ដត្រាង","55","1","9","251","1","","3","8","45","1","2","376","7","383"
"0031","វត្ដកោះខ្សាច","17","2","2","353","0","","2","22","85","0","14","497","1","498"
"0394","វត្ដកោះខ្សាច","22","0","9","138","1","","0","7","65","0","9","251","3","254"
"0032","បឋមសិក្សា កោះខ្សាច","72","2","17","235","5","","5","11","115","4","23","489","4","493"
"0033","ឃ្លាំងស្រូវភូមិអូព្រាល","27","0","4","313","1","","5","6","53","0","6","415","3","418"
"0034","បឋមសិក្សា អង្កាញ","31","0","10","288","1","","3","7","137","0","8","485","6","491"
"0035","រោងវីដេអូ ឌឹប ឆេង ភូមិប៉ោឡោ","21","1","2","323","1","","1","1","110","1","3","464","1","465"
"0414","ផ្ទះ តុប ជាន","10","0","7","67","2","","0","5","24","0","2","117","0","117"
"0036","ផ្ទះ ឈៀង ភូមិចាយ៉ូវ","39","1","8","306","7","","3","35","77","2","12","490","3","493"
"0037","សាលារៀនក្ដាត","60","4","5","299","4","","2","14","106","4","6","504","5","509"
"0038","វត្ដលៀប","12","0","15","343","3","","2","6","130","0","6","517","3","520"
"0039","បឋមសិក្សា ដីរនាត","27","2","20","149","2","","1","10","78","2","50","341","9","350"
"0415","បឋមសិក្សា ដីរនាត","5","3","9","54","0","","0","3","15","1","18","108","1","109"
"0040","វត្ដសុខសាមគ","22","2","3","184","0","","6","23","152","1","4","397","5","402"
"0041","បឋមសិក្សា អន្លង់ក្រាយ","17","4","5","207","2","","3","71","50","0","7","366","4","370"
"0042","បឋមសិក្សា អន្លង់ក្រាយ","8","2","15","289","2","","2","16","31","0","48","413","4","417"
"0043","វទ្យាលយអរតាបោង","13","2","6","348","1","","1","36","62","1","11","481","10","491"
"0044","វត្ដសុខសាមគ","16","0","3","104","1","","2","16","28","0","1","171","3","174"
"0045","បឋមសិក្សា របោះរាំង","17","1","5","177","1","","2","13","177","1","3","397","2","399"
"0046","បឋមសិក្សា របោះរាង","13","2","5","229","2","","3","15","147","1","12","429","0","429"
"0047","បឋមសិក្សា អូរតាប៉ោង","5","0","4","263","0","","3","15","67","3","5","365","11","376"
"0048","បឋមសិក្សា អូរតាប៉ោង","9","0","2","233","1","","1","8","86","1","10","351","3","354"
"0049","បឋមសិក្សា ទួលរគាំង","26","1","13","351","2","","7","43","39","1","22","505","8","513"
"0050","បឋមសិក្សា ស្រះម្កាក","14","3","6","288","1","","5","18","64","0","2","401","6","407"
"0051","វត្ដស្ដុកឃ្លោក","16","1","15","305","0","","4","26","62","2","12","443","9","452"
"0052","បឋមសិក្សា ស្ដុកឃ្លោក","14","7","14","302","6","","12","41","99","2","29","526","11","537"
"0053","បឋមសិក្សា សំរោងពក","8","2","20","324","6","","10","35","87","5","45","542","4","546"
"0428","បឋមសិក្សា សំរោងពក","2","1","1","48","0","","0","11","23","1","3","90","1","91"
"0054","បឋមសិក្សា ស្រះម្កាក","12","2","14","400","2","","9","14","75","1","6","535","4","539"
"0055","វត្ដស្រះម្កាក","8","3","5","395","1","","4","48","62","0","11","537","3","540"
"0056","បឋមសិក្សា ស្រះម្កាក","5","2","6","213","1","","3","8","28","0","1","267","3","270"
"0057","វត្ដដំណាក់ត្រាច","7","5","3","186","0","","2","6","138","1","5","353","1","354"
"0058","បឋមសិក្សា ព្នៅ","41","2","7","351","2","","6","14","85","1","19","528","1","529"
"0059","បឋមសិក្សា រំលេច","2","0","5","279","1","","0","3","130","0","2","422","2","424"
"0429","បឋមសិក្សា កូនត្នោត","1","0","0","225","0","","4","2","0","0","1","233","1","234"
"0060","វត្ដប្រាសាទ","16","1","2","255","1","","1","18","146","2","8","450","10","460"
"0061","វត្ដប្រាសាទ","4","0","2","159","0","","2","2","77","0","5","251","0","251"
"0062","បឋមសិក្សា ស្ដុកខ្លា","1","1","1","214","0","","2","1","92","1","0","313","1","314"
"0063","បឋមសិក្សា រំលេច","2","0","4","274","1","","4","24","131","0","4","444","2","446"
"0064","អនុវិទ្យាល័យហ៊ុន សែន រំលេច","0","1","1","173","0","","0","4","76","0","8","263","1","264"
"0065","បឋមសិក្សា ស្ដុកខ្លា","26","1","0","186","0","","0","7","257","0","7","484","1","485"
"0436","បឋមសិក្សា ភូមិថ","1","0","0","136","0","","4","0","5","0","1","147","1","148"
"0366","ផ្ទះ សឹុម មៀន ភូមិសាមគ","8","1","16","187","2","","3","20","135","2","3","377","5","382"
"0066","ផ្ទះ អាំ អេន ភូមិបាក់ព្រីង","12","0","3","215","2","","2","11","85","1","21","352","11","363"
"0067","បឋមសិក្សា កោះក្រសាំង","66","1","7","337","3","","2","19","97","0","6","538","9","547"
"0068","អនុវិទ្យាល័យក្រពើរោទ","48","1","1","274","3","","5","9","103","2","0","446","2","448"
"0069","សាលាឆទានឧកញាឃ្លាំងមឿង","16","2","3","462","3","","0","3","68","0","4","561","5","566"
"0367","ផ្ទះ ស៊ុំ លុយ ភូមិស្វាយអាត","3","0","2","207","0","","0","4","25","1","6","248","0","248"
"0070","បឋមសិក្សា ចបក់មាស","29","2","4","329","2","","4","19","66","2","8","465","7","472"
"0071","បឋមសិក្សា ព្នៅ","56","2","7","372","2","","2","7","19","0","5","472","13","485"
"0368","សាលាមត្ដេយ្យអន្លុងមាន","14","0","0","376","1","","2","1","24","0","4","422","7","429"
"0072","បឋមសិក្សា អណ្ដូងសំបួរ","30","0","6","360","3","","4","7","74","0","4","488","7","495"
"0340","ផ្ទះ ឡាយ នន ភូមិស្ដុកស្វាយ","23","1","6","248","0","","2","28","105","3","1","417","9","426"
"0073","សាលាមត្ដេយ្យធ្នោះតាចាប","69","4","20","265","2","","2","39","158","1","7","567","2","569"
