"number","name","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","useful","notUseful","totalInBox"
"0001","ភូមិសោម","5","3","6","210","","","","12","15","0","1","252","11","263"
"0002","ភូមិកាតែ","8","2","2","259","","","","3","10","0","1","285","11","296"
"0003","ភូមិកែត","4","3","9","269","","","","0","3","0","0","288","15","303"
"0116","ភូមិកែត","2","1","1","120","","","","2","0","0","0","126","5","131"
"0100","ភូមិដាល","3","1","1","69","","","","0","18","0","1","93","7","100"
"0004","ភូមិញ៉ាង","4","2","1","142","","","","3","38","0","0","190","15","205"
"0005","ភូមិកាជូត","4","0","2","137","","","","2","70","1","4","220","4","224"
"0006","ភូមិមួយ","4","1","1","82","","","","2","14","1","3","108","16","124"
"0007","ភូមិចង","7","2","3","106","","","","2","13","2","1","136","2","138"
"0008","ភូមិកាណាត","4","4","3","221","","","","2","10","1","3","248","8","256"
"0009","សាលារៀនភូមិតាឡាវ","11","6","2","279","","","","5","11","2","5","321","28","349"
"0010","ភូមិ១","13","4","2","131","","","","15","49","0","18","232","9","241"
"0129","ភូមិ១","8","2","1","71","","","","6","23","2","3","116","3","119"
"0011","ភូមិ២","29","1","1","130","","","","36","32","1","17","247","6","253"
"0111","ភូមិ២","7","5","3","83","","","","6","16","2","5","127","1","128"
"0136","ភូមិ២","35","1","1","126","","","","9","34","0","5","211","2","213"
"0012","ភូមិ៣","10","3","4","174","","","","7","48","0","4","250","6","256"
"0013","ភូមិ៤","36","0","1","204","","","","39","72","1","27","380","8","388"
"0101","បឋមសិក្សា ឡាបានសៀក","5","0","2","178","","","","8","22","1","9","225","0","225"
"0014","បឋមសិក្សា ឡាបានសៀក","7","0","1","253","","","","6","34","0","9","310","6","316"
"0015","មន្ទីរវប្បធម៌ខេត","13","2","1","244","","","","19","57","1","25","362","8","370"
"0102","សាលាសម្ដេចក្រុមព្រះ","10","1","0","79","","","","30","33","0","5","158","4","162"
"0016","សាលាសម្ដេចក្រុមព្រះ","16","2","2","143","","","","25","39","1","13","241","5","246"
"0103","បឋមសិក្សា ប៊ូ ថង","4","0","1","190","","","","6","26","0","9","236","1","237"
"0017","បឋមសិក្សា ប៊ូ ថង","5","2","3","194","","","","8","26","0","8","246","4","250"
"0018","មន្ទីរសង្គមកិច្ចខេត","19","5","1","215","","","","23","63","1","24","351","2","353"
"0019","សាលាហ៊ុនសែនភូមិថ","17","3","2","148","","","","26","39","0","10","245","3","248"
"0020","វិទ្យាល័យសម្ដេចឪសម្ដេចមែ","11","1","0","215","","","","4","48","0","18","297","1","298"
"0112","វិទ្យាល័យសម្ដេចឪសម្ដេចមែ","13","1","0","151","","","","11","35","0","15","226","0","226"
"0117","វិទ្យាល័យសម្ដេចឪសម្ដេចមែ","12","1","0","205","","","","14","79","0","26","337","0","337"
"0021","ភូមិឡូន","7","3","5","164","","","","2","17","2","2","202","13","215"
"0022","ភូមិឡាប","10","1","2","140","","","","21","28","0","2","204","3","207"
"0023","ភូមិសិល","3","1","1","174","","","","19","7","0","5","210","8","218"
"0024","ភូមិលើតូច","7","5","4","176","","","","3","27","0","2","224","17","241"
"0025","ភូមិយឺន","23","5","4","227","","","","4","20","0","3","286","24","310"
"0026","ភូមិលើយួន","14","2","3","125","","","","4","67","2","5","222","23","245"
"0132","ភូមិលើយួន","7","2","4","33","","","","2","33","1","2","84","9","93"
"0027","សាលារៀន","14","4","8","188","","","","9","48","2","4","277","31","308"
"0028","ទីរួមស្រុក","15","4","2","208","","","","7","39","0","5","280","7","287"
"0029","វត","6","1","0","88","","","","6","14","0","1","116","3","119"
"0138","វត","12","2","1","131","","","","6","24","1","7","184","4","188"
"0118","ភូមិមួយ","16","3","6","196","","","","10","53","2","7","293","8","301"
"0104","ភូមិលុងឃុង","8","2","3","139","","","","2","11","1","6","172","6","178"
