"province_kh_name","province_en_name","district_kh_name","district_en_name","commune_kh_name","commune_en_name","station_number","station_name","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","useful_votes","non_useful_votes","total_in_box"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0001","បឋម។ចំការកៅស៊ូបន្ទប់ចុងកើត","9","1","3","197","","","","9","65","0","12","296","0","296"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0002","បឋម។ចំការកៅស៊ូបន្ទប់ចុងលិច","2","1","0","119","","","","1","31","2","7","163","3","166"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0129","ឃ្លាំងឧស្សាហ៍កម្ម","18","0","1","299","","","","17","119","2","23","479","4","483"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0130","ឃ្លាំងឧស្សាហ៍កម្ម","9","2","2","295","","","","7","97","0","25","437","9","446"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0131","សាលាចំការកៅស៊ូបន្ទប់កណ្ដាល","2","0","1","152","","","","4","43","0","6","208","7","215"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0003","បឋមសិក្សាហ៊ុនសែនឃ្លាំងលេ","13","1","4","384","","","","14","90","1","16","523","8","531"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0004","បឋមសិក្សាហ៊ុនសែនឃ្លាំងលេ","5","1","0","189","","","","6","55","1","13","270","5","275"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0186","បឋមសិក្សាហ៊ុនសែនឃ្លាំងលេ","6","0","1","165","","","","1","47","0","10","230","4","234"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0005","បឋមសិក្សាហ៊ុនសែនឃ្លាំងលេ","9","4","4","320","","","","10","95","0","14","456","2","458"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0006","សាលាបឋមសិក្សាសាគូរ៉ា","8","5","1","211","","","","11","98","1","8","343","8","351"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0007","សាលាបឋមសិក្សាសាគូរ៉ា","9","4","3","151","","","","20","78","3","9","277","15","292"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0008","សាលាបឋមសិក្សាសាគូរ៉ា","4","3","0","121","","","","9","80","0","10","227","3","230"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0132","សាលាបឋមសិក្សាសាគូរ៉ា","7","1","0","202","","","","17","88","1","6","322","3","325"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0133","សាលាបឋមសិក្សាសាគរ៉ា","8","1","0","90","","","","16","66","2","4","187","1","188"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0134","សាលាបឋមសិក្សាសាគូរ៉ា","7","2","0","168","","","","21","74","1","5","278","3","281"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0135","សាលាបឋមសិក្សា សាគូរ៉ា","5","0","1","96","","","","11","44","0","4","161","10","171"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0160","សាលាបឋមសិក្សា សាគូរ៉ា","9","4","3","254","","","","21","109","1","15","416","7","423"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ១","Lek 1","0136","សាលាបឋមសិក្សា សាគូរ៉ា","5","2","0","151","","","","8","70","0","10","246","6","252"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ២","Lek 2","0009","បឋម។ ជាសីុម អាគារខាងលិច","13","4","2","157","","","","15","38","0","9","238","10","248"
"ព្រះសីហនុ","Preah Sihanouk","មិត្តភាព","Mittakpheap","លេខ ២","Lek 2","0187","បឋម។ ជាសីុម អាគារខាងលិច","7","0","2","149","","","","9","53","1","10","231","3","234"
