"number","name","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","useful","notUseful","totalInBox"
"0091","សាលារៀនភូមិកាតូត","24","1","0","73","","","","2","3","0","1","104","11","115"
"0001","កំរងសាលា( ភូមិបានម៉ៃ )","48","2","4","259","","","","2","23","0","2","340","11","351"
"0002","វត្ដជ័យមង្គល ភូមិកំភុន","48","1","2","423","","","","1","12","0","1","488","29","517"
"0100","វត្ដជ័យមង្គល ភូមិកំភុន","3","0","0","108","","","","0","0","0","0","111","1","112"
"0003","វត្ដ ក្របីជ្រ","18","8","2","221","","","","4","65","3","2","323","14","337"
"0092","សាលារៀនក្បាលរមាស","30","4","0","74","","","","4","60","1","0","173","22","195"
"0004","សាលារៀនស្រែស្រណុក","6","1","2","105","","","","2","39","2","0","157","4","161"
"0005","វត្ដច្រប","20","5","2","235","","","","4","124","3","3","396","13","409"
"0006","វត្ដបរមផាសុខ ភូមិភ្លុក","23","3","5","477","","","","19","13","0","9","549","10","559"
"0007","វត្ដហាងសាវ៉ាត","9","6","5","402","","","","4","44","1","5","476","9","485"
"0008","សាលារៀនសាមឃួយ","44","5","2","407","","","","8","31","1","1","499","19","518"
"0009","វត្ដនទីសិលារាម ភូមិ ១","10","1","3","346","","","","10","33","1","12","416","16","432"
"0093","សាលាបឋមសិក្សាញេុីន","3","2","3","108","","","","1","25","0","0","142","7","149"
"0010","វត្ដពន្លឺសាមគ","106","7","6","260","","","","6","133","1","3","522","5","527"
"0101","វត្ដពន្លឺសាមគ","16","3","4","77","","","","0","47","0","0","147","0","147"
"0011","វត្ដ ខ្សាច់ថី្ម ធំ","67","9","8","238","","","","13","52","3","2","392","27","419"
"0012","វត្ដ ស្វាយរៀង","14","9","2","343","","","","2","43","1","3","417","11","428"
"0013","សាលាឆទាន រំពាត","3","7","3","173","","","","0","6","1","3","196","9","205"
"0014","សាលារៀន កោះព្រះ","41","5","3","405","","","","4","54","1","4","517","12","529"
"0109","សាលារៀន កោះព្រះ","3","0","0","58","","","","1","10","2","1","75","1","76"
