"province_kh_name","province_en_name","district_kh_name","district_en_name","commune_kh_name","commune_en_name","station_number","station_name","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","useful_votes","non_useful_votes","total_in_box"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","បាទី","Bati","0001","វត្ដថ្នាញ","41","6","6","379","1","","","30","29","0","9","501","7","508"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","បាទី","Bati","0519","វត្ដថ្នាញ","34","0","2","302","1","","","23","50","2","7","421","7","428"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","បាទី","Bati","0002","វត្ដស្វាយកណ្ដាល","6","5","0","264","1","","","28","17","0","1","322","7","329"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","បាទី","Bati","0641","វត្ដស្វាយកណ្ដាល","10","0","0","229","1","","","30","23","0","0","293","1","294"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","បាទី","Bati","0003","វត្ដប្រសប់លាក់","13","0","4","276","1","","","27","64","1","2","388","9","397"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","បាទី","Bati","0520","វត្ដប្រសប់លាក់","27","1","8","318","1","","","43","61","0","8","467","8","475"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0004","កដលេខ៣វតបាវត","11","3","2","352","0","","","8","135","1","2","514","8","522"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0005","សាលាធម្ម វិន័យវត្ដបាវិត","3","0","2","345","0","","","7","153","2","8","520","7","527"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0550","សាលាធម្ម វិន័យវត្ដបាវិត","8","1","0","272","0","","","3","107","0","6","397","6","403"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0006","អនុវិទ្យាល័យ បាវិត","4","1","2","349","0","","","5","182","4","7","554","7","561"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0007","អនុវិទ្យាល័យ បាវិត","4","2","1","168","0","","","2","103","1","4","285","4","289"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0648","អនុវិទ្យាល័យ បាវិត","4","1","1","183","0","","","3","68","0","1","261","5","266"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0008","សាលាឆទាន វត្ដបាវិត","12","1","0","413","1","","","6","123","2","7","565","32","597"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0009","សាលាឧបសម្ព័ន្ធចាស់","21","3","3","386","1","","","5","48","1","8","476","13","489"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0551","សាលាឧបសម្ព័ន្ធចាស់","12","1","3","389","1","","","5","54","1","3","469","13","482"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0010","សាលាឧបសម្ព័ន្ធ ថ","9","2","5","372","0","","","4","59","0","5","456","10","466"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0011","អនុវិទ្យាល័យ បាវិត","9","1","5","397","2","","","4","82","0","6","506","11","517"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0012","អនុវិទ្យាល័យ បាវិត","5","2","2","376","1","","","4","114","0","3","507","3","510"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","​បាវិត","Bavet","0013","ផ្ទះលោក ទេព ធ្លក","12","0","4","408","2","","","4","90","0","4","524","5","529"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","ចន្ទ្រា","Chantrea","0014","ផ ះ ស៊ុ ំ សេត","25","2","5","415","1","","","4","130","0","4","586","7","593"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","ចន្ទ្រា","Chantrea","0643","សាលាបឋមសិក្សា ចន្ទ្រា","4","0","1","135","0","","","0","18","0","1","159","1","160"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","ចន្ទ្រា","Chantrea","0015","វត្ដសេរីវង្ស","21","4","7","458","4","","","8","58","0","16","576","11","587"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","ចន្ទ្រា","Chantrea","0016","ផ្ទះលោក មាស សុម៉ៃយ៉ា","38","6","4","467","1","","","18","57","1","7","599","5","604"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","ច្រេស","Chres","0017","វតត្រពាងធក","10","5","7","458","2","","","37","80","2","3","604","9","613"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","ច្រេស","Chres","0018","ផ្ទះលោកស្រី គង់ សាព័រ","3","4","1","516","0","","","5","8","1","1","539","12","551"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","ច្រេស","Chres","0019","វត្ដព្រៃខ្លូត","9","1","1","472","1","","","0","34","0","1","519","9","528"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","ច្រេស","Chres","0020","ផ្ទះ លោក ចាន់ សាន","9","1","4","385","5","","","5","50","1","3","463","16","479"
"ស្វាយរៀង","Svay Rieng","ចន្រ្ទា","Chantrea","ច្រេស","Chres","0021","ផ្ទះលោក ឡុង ប៊ិច","6","4","5","485","2","","","1","55","1","0","559","10","569"
