"number","name","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","useful","notUseful","totalInBox"
"0001","សាលាឆទានស្ទឹងកំបុត","40","7","5","296","","","","13","98","3","8","470","40","510"
"0924","សាលាឆទានស្ទឹងកំបុត","8","0","1","108","","","","1","32","0","5","155","14","169"
"0002","បឋមសិក្សា អង្គរបូរី","15","1","0","283","","","","23","100","1","40","463","7","470"
"0003","បឋមសិក្សា អង្គរបូរី","41","9","6","247","","","","40","105","2","48","498","8","506"
"0004","បឋមសិក្សា អង្គរបូរី","39","2","3","282","","","","14","108","2","46","496","5","501"
"1016","បឋមសិក្សា អង្គរបូរី","1","2","1","89","","","","11","35","0","10","149","5","154"
"0990","បឋមសិក្សា អង្គរបូរី","31","4","3","251","","","","23","95","1","33","441","9","450"
"0005","វិទ្យាល័យហ៊ុន សែនអង្គរបូរី","20","3","6","240","","","","8","178","2","24","481","5","486"
"0905","វិទ្យាល័យហ៊ុន សែនអង្គរបូរី","13","0","0","107","","","","6","128","0","12","266","1","267"
"0006","បឋម។ សុខ អាន ទួលសំបូរ","26","4","5","205","","","","53","158","4","15","470","3","473"
"0007","បឋម។ សុខ អាន ទួលសំបូរ","36","1","11","193","","","","79","143","0","14","477","6","483"
"0008","បឋម។ សុខ អាន ទួលសំបូរ","14","2","9","255","","","","16","247","1","12","556","5","561"
"0009","បឋម។ សុខ អាន ទួលសំបូរ","7","4","4","216","","","","16","166","2","6","421","27","448"
"0010","បឋម។ សុខ អាន ទួលសំបូរ","36","1","6","172","","","","19","148","1","6","389","30","419"
"0011","បឋម។ សុខ អាន ទួលសំបូរ","16","3","2","239","","","","14","127","1","11","413","7","420"
"0012","បឋមសិក្សា កោះ","14","4","4","273","","","","41","112","7","61","516","7","523"
"0013","បឋមសិក្សា កោះ","18","1","3","182","","","","10","162","1","73","450","6","456"
"1012","បឋមសិក្សា កោះ","6","0","5","159","","","","16","118","1","43","348","2","350"
"0014","បឋមសិក្សា កោះ","31","1","6","192","","","","18","151","3","42","444","6","450"
"0015","បឋមសិក្សា កោះ","5","2","2","180","","","","15","61","10","22","297","2","299"
"1044","បឋមសិក្សា កោះ","9","0","3","132","","","","23","78","4","37","286","1","287"
"0016","អនុវិទ្យាល័យហ៊ុន សែនរំលក","5","2","3","219","","","","36","40","1","11","317","1","318"
"1045","អនុវិទ្យាល័យហ៊ុន សែនរំលក","6","2","3","173","","","","27","64","2","14","291","1","292"
"0017","អនុវិទ្យាល័យហ៊ុន សែនរំលក","8","2","3","221","","","","26","106","1","27","394","3","397"
