"province_kh_name","province_en_name","district_kh_name","district_en_name","commune_kh_name","commune_en_name","station_number","station_name","party1","party2","party3","party4","party5","party6","party7","party8","party9","party10","party11","useful_votes","non_useful_votes","total_in_box"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","អន្លង់វែង","Anlong Veaeng","0001","ផ្ទះប្រជាជន ហ៊ុយ រ៉ាយ (ទួលស្នួល)","25","4","2","277","","","","7","57","2","5","379","9","388"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","អន្លង់វែង","Anlong Veaeng","0002","ផ្ទះប្រជាជន កែវ ញឿន","42","3","13","278","","","","2","48","3","12","401","5","406"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","អន្លង់វែង","Anlong Veaeng","0003","ផ្ទះប្រជាជន ធុញ ឈឺត","29","1","3","300","","","","2","36","0","16","387","6","393"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","អន្លង់វែង","Anlong Veaeng","0004","ផ្ទះប្រជាជន ហុច សឿន","23","4","5","174","","","","8","41","0","16","271","5","276"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","អន្លង់វែង","Anlong Veaeng","0005","ផ្ទះប្រជាជន បិន គឹមស្រួច","18","1","0","192","","","","2","29","3","6","251","6","257"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","អន្លង់វែង","Anlong Veaeng","0162","ផ្ទះប្រជាជន វ៉ាន ថន","29","1","5","244","","","","1","39","2","16","337","3","340"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","អន្លង់វែង","Anlong Veaeng","0136","បឋមសិក្សា អណ្ដូងប","37","3","4","201","","","","6","93","0","15","359","11","370"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","អន្លង់វែង","Anlong Veaeng","0006","សាលាមត្ដេយ្យយាងខាងជើង","81","3","7","268","","","","6","18","0","13","396","11","407"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","អន្លង់វែង","Anlong Veaeng","0007","ផ្ទះប្រជាជន ហឿង ថា","8","2","0","204","","","","2","17","0","7","240","1","241"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","លំទង","Lomtorng","0008","បឋមសិក្សា លំទងចាស","41","2","4","183","","","","1","27","0","4","262","7","269"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","លំទង","Lomtorng","0009","បឋមសិក្សា លំទងថ","50","3","7","369","","","","2","55","1","19","506","8","514"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","លំទង","Lomtorng","0010","បឋមសិក្សា អូរគគីរកណ្ដាល","26","5","16","389","","","","6","72","3","18","535","9","544"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","លំទង","Lomtorng","0147","បឋមសិក្សា គោកសំព័រ","24","1","15","268","","","","7","48","0","16","379","6","385"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","លំទង","Lomtorng","0170","បឋមសិក្សា រហាល","17","3","6","194","","","","10","22","3","7","262","3","265"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","លំទង","Lomtorng","0171","បឋមសិក្សា ចារ","18","4","6","132","","","","2","55","1","5","223","11","234"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","លំទង","Lomtorng","0153","បឋមសិក្សាស្រឡៅស្រោង","21","4","3","170","","","","1","14","1","7","221","6","227"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","ថ្លាត","Thlat","0011","សាលារៀន ឈើទាលជ្រ","1","0","0","182","","","","7","21","0","3","214","4","218"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","ថ្លាត","Thlat","0012","សាលាបឋមសិក្សា កម្រងថ្លាត","10","3","8","372","","","","6","19","0","19","437","15","452"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","ថ្លាត","Thlat","0013","សាលាបឋមសិក្សា ទួលព្រេច","10","3","3","246","","","","4","12","1","10","289","11","300"
"ឧត្ដរមានជ័យ","Oddar Meanchey","អន្លង់វែង","Anlong Veaeng","ថ្លាត","Thlat","0014","វត្ដជ័យរុក្ខារាម","17","4","7","248","","","","6","55","3","20","360","6","366"
